UniProtID,GeneName,DrugBank ID,Name,Type,UniProt Name,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG
Q86UQ4,ABCA13,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q9BZC7,ABCA2,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q99758,ABCA3,,,,,0,1,0,0,0,0,0,0,1,1,0,0
P78363,ABCA4,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q8WWZ7,ABCA5,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q8N139,ABCA6,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q8IZY2,ABCA7,,,,,0,1,0,0,0,0,0,0,1,1,0,0
O94911,ABCA8,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q8IUA7,ABCA9,,,,,0,1,0,0,0,0,0,0,0,1,0,0
P08183,ABCB1,DB00813,Fentanyl,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB00171,ATP,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB04905,Tesmilifene,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14062,Concanamycin A,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14065,Lomerizine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB00778,Roxithromycin,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB06240,Tariquidar,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14064,Emopamil,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14063,Dexverapamil,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB04881,Elacridar,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14069,ONT-093,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB09031,Miltefosine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB11635,Tocofersolan,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14066,Tetrandrine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14071,Desmethylsertraline,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14061,Hycanthone,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14072,Reversin 121,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14070,HM-30181,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB06191,Zosuquidar,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB04877,Voacamine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14068,Dexniguldipine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB05449,FM-VP4,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB00482,Celecoxib,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P08183,ABCB1,DB14067,Dofequidar,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
Q9NRK6,ABCB10,,,,,0,1,0,0,0,0,0,0,0,1,0,0
O95342,ABCB11,DB00171,ATP,SmallMoleculeDrug,Bile salt export pump,0,1,0,0,0,0,0,0,1,1,0,0
O95342,ABCB11,DB01016,Glyburide,SmallMoleculeDrug,Bile salt export pump,0,1,0,0,0,0,0,0,1,1,0,0
O95342,ABCB11,DB00845,Clofazimine,SmallMoleculeDrug,Bile salt export pump,0,1,0,0,0,0,0,0,1,1,0,0
P21439,ABCB4,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q2M3G0,ABCB5,DB04851,Biricodar dicitrate,SmallMoleculeDrug,ATP-binding cassette sub-family B member 5,0,1,0,0,0,0,0,0,0,1,0,0
Q2M3G0,ABCB5,DB00482,Celecoxib,SmallMoleculeDrug,ATP-binding cassette sub-family B member 5,0,1,0,0,0,0,0,0,0,1,0,0
Q2M3G0,ABCB5,DB14067,Dofequidar,SmallMoleculeDrug,ATP-binding cassette sub-family B member 5,0,1,0,0,0,0,0,0,0,1,0,0
Q9NP58,ABCB6,,,,,0,1,0,0,0,0,0,0,1,1,0,0
O75027,ABCB7,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9NUT2,ABCB8,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q9NP78,ABCB9,,,,,0,1,0,0,0,0,0,0,0,1,0,0
P33527,ABCC1,DB08855,Leukotriene C4,SmallMoleculeDrug,Multidrug resistance-associated protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P33527,ABCC1,DB00171,ATP,SmallMoleculeDrug,Multidrug resistance-associated protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P33527,ABCC1,DB06176,Romidepsin,SmallMoleculeDrug,Multidrug resistance-associated protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P33527,ABCC1,DB01138,Sulfinpyrazone,SmallMoleculeDrug,Multidrug resistance-associated protein 1,0,1,0,0,0,0,0,0,1,1,0,0
P33527,ABCC1,DB04851,Biricodar dicitrate,SmallMoleculeDrug,Multidrug resistance-associated protein 1,0,1,0,0,0,0,0,0,1,1,0,0
Q5T3U5,ABCC10,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q96J66,ABCC11,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q96J65,ABCC12,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q92887,ABCC2,DB01138,Sulfinpyrazone,SmallMoleculeDrug,Canalicular multispecific organic anion transporter 1,0,1,0,0,0,0,0,0,1,1,0,0
Q92887,ABCC2,DB00171,ATP,SmallMoleculeDrug,Canalicular multispecific organic anion transporter 1,0,1,0,0,0,0,0,0,1,1,0,0
O15438,ABCC3,,,,,0,1,0,0,0,0,0,0,0,1,0,0
O15439,ABCC4,DB00171,ATP,SmallMoleculeDrug,Multidrug resistance-associated protein 4,0,1,0,0,0,0,0,0,0,1,0,0
O15440,ABCC5,DB11672,Curcumin,SmallMoleculeDrug,Multidrug resistance-associated protein 5,0,1,0,0,0,0,0,0,0,1,0,0
O95255,ABCC6,DB00171,ATP,SmallMoleculeDrug,Multidrug resistance-associated protein 6,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB01251,Gliquidone,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB01252,Mitiglinide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB00672,Chlorpropamide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB00839,Tolazamide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB01382,Glycodiazine,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB01016,Glyburide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB00912,Repaglinide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB00222,Glimepiride,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB01120,Gliclazide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB01067,Glipizide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB00731,Nateglinide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB01124,Tolbutamide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
Q09428,ABCC8,DB00171,ATP,SmallMoleculeDrug,ATP-binding cassette sub-family C member 8,0,1,0,0,0,0,0,0,1,1,0,0
O60706,ABCC9,DB01016,Glyburide,SmallMoleculeDrug,ATP-binding cassette sub-family C member 9,0,1,0,0,0,0,0,0,1,1,0,0
O60706,ABCC9,DB09220,Nicorandil,SmallMoleculeDrug,ATP-binding cassette sub-family C member 9,0,1,0,0,0,0,0,0,1,1,0,0
O60706,ABCC9,DB00171,ATP,SmallMoleculeDrug,ATP-binding cassette sub-family C member 9,0,1,0,0,0,0,0,0,1,1,0,0
P33897,ABCD1,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9UBJ2,ABCD2,,,,,0,1,0,0,0,0,0,0,0,1,0,0
P28288,ABCD3,,,,,0,1,0,0,0,0,0,0,0,1,0,0
O14678,ABCD4,,,,,0,1,0,0,0,0,0,0,1,1,0,0
P61221,ABCE1,,,,,0,0,0,0,0,0,0,0,0,1,0,0
Q8NE71,ABCF1,,,,,0,0,0,0,0,0,0,0,0,1,0,0
Q9UG63,ABCF2,,,,,0,0,0,0,0,0,0,0,0,1,0,0
Q9NUQ8,ABCF3,,,,,0,0,0,0,0,0,0,0,0,1,0,0
P45844,ABCG1,DB00171,ATP,SmallMoleculeDrug,ATP-binding cassette sub-family G member 1,0,1,0,0,0,0,0,0,0,1,0,0
Q9UNQ0,ABCG2,DB00482,Celecoxib,SmallMoleculeDrug,ATP-binding cassette sub-family G member 2,0,1,0,0,0,0,0,0,0,1,0,0
Q9UNQ0,ABCG2,DB04851,Biricodar dicitrate,SmallMoleculeDrug,ATP-binding cassette sub-family G member 2,0,1,0,0,0,0,0,0,0,1,0,0
Q9UNQ0,ABCG2,DB11995,Avatrombopag,SmallMoleculeDrug,ATP-binding cassette sub-family G member 2,0,1,0,0,0,0,0,0,0,1,0,0
Q9H172,ABCG4,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q9H222,ABCG5,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9H221,ABCG8,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q96SE0,ABHD1,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9NUJ1,ABHD10,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q8NFV4,ABHD11,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q8N2K0,ABHD12,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q7Z5M8,ABHD12B,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q7L211,ABHD13,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9BUJ0,ABHD14A,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q96IU4,ABHD14B,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q6UXT9,ABHD15,,,,,0,0,0,0,0,0,0,0,1,1,0,0
O95870,ABHD16A,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9H3Z7,ABHD16B,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q96GS6,ABHD17A,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q5VST6,ABHD17B,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q6PCB6,ABHD17C,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q0P651,ABHD18,,,,,0,0,0,0,0,0,0,0,0,0,0,0
P08910,ABHD2,,,,,0,1,0,0,1,0,0,0,1,1,0,0
Q8WU67,ABHD3,,,,,0,1,0,0,1,0,0,0,1,1,0,0
Q8TB40,ABHD4,,,,,0,0,0,0,1,0,0,0,1,1,0,0
Q8WTS1,ABHD5,,,,,0,0,0,0,1,0,0,0,1,1,0,0
Q9BV23,ABHD6,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q96I13,ABHD8,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q8IZP0,ABI1,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Q9NYB9,ABI2,,,,,0,0,0,0,0,0,0,0,1,0,0,0
Q9P2A4,ABI3,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Q7Z7G0,ABI3BP,,,,,0,0,0,0,0,0,0,0,1,0,0,0
P00519,ABL1,DB08231,Myristic acid,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB12323,Radotinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB08583,"2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB05184,XL228,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB06616,Bosutinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB12267,Brigatinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB07831,"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB00619,Imatinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB04868,Nilotinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB08350,"5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB08043,1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB00171,ATP,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB08339,"6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB12010,Fostamatinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB01254,Dasatinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB03878,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB08896,Regorafenib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P00519,ABL1,DB08901,Ponatinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
P42684,ABL2,DB00171,ATP,SmallMoleculeDrug,Abelson tyrosine-protein kinase 2,0,0,0,1,0,0,0,0,1,1,1,0
P42684,ABL2,DB01254,Dasatinib,SmallMoleculeDrug,Abelson tyrosine-protein kinase 2,0,0,0,1,0,0,0,0,1,1,1,0
P42684,ABL2,DB12010,Fostamatinib,SmallMoleculeDrug,Abelson tyrosine-protein kinase 2,0,0,0,1,0,0,0,0,1,1,1,0
P42684,ABL2,DB05184,XL228,SmallMoleculeDrug,Abelson tyrosine-protein kinase 2,0,0,0,1,0,0,0,0,1,1,1,0
P42684,ABL2,DB07664,"5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE",SmallMoleculeDrug,Abelson tyrosine-protein kinase 2,0,0,0,1,0,0,0,0,1,1,1,0
O14639,ABLIM1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Q6H8Q1,ABLIM2,,,,,0,0,0,0,0,0,0,0,0,0,0,0
O94929,ABLIM3,,,,,0,0,0,0,0,0,0,0,0,0,0,0
P16442,ABO,DB03772,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol",SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB07378,"4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL",SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB03501,Galactose-uridine-5'-diphosphate,SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB04681,BETA-METHYLLACTOSIDE,SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB03435,Uridine-5'-Diphosphate,SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB04141,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol",SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB07633,octyl 3-deoxy-2-O-(6-deoxy-alpha-L-galactopyranosyl)-beta-D-xylo-hexopyranoside,SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB02196,Uridine-Diphosphate-N-Acetylgalactosamine,SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB04678,H TYPE II TRISACCHARIDE,SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
P16442,ABO,DB07341,"octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside",SmallMoleculeDrug,Histo-blood group ABO system transferase,0,1,0,0,0,0,0,0,1,1,0,0
